<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
US1.AAPL,1,20200714,145600,385.6,385.6,385.22,385.31,1600
US1.AAPL,1,20200714,145700,385.39,386.15,385.39,386.13,6088
US1.AAPL,1,20200714,145800,386.1,386.62,386.09,386.62,4657
US1.AAPL,1,20200714,145900,386.66,386.8,386.38,386.48,9559
US1.AAPL,1,20200714,150000,386.46,386.68,386.35,386.59,6650
US1.AAPL,1,20200714,150100,386.57,386.65,386.12,386.62,9200
US1.AAPL,1,20200714,150200,386.59,386.78,386.39,386.59,2500
US1.AAPL,1,20200714,150300,386.61,386.61,385.91,386,7100
US1.AAPL,1,20200714,150400,386.07,386.12,385.26,385.35,7619
US1.AAPL,1,20200714,150500,385.26,385.26,384.46,384.56,7038
US1.AAPL,1,20200714,150600,384.69,384.9,384.33,384.41,10974
US1.AAPL,1,20200714,150700,384.35,384.58,383.88,383.93,6857
US1.AAPL,1,20200714,150800,383.91,384.36,383.91,384.32,3299
US1.AAPL,1,20200714,150900,384.26,384.62,384.13,384.52,7100
US1.AAPL,1,20200714,151000,384.29,384.38,383.92,383.96,3695
US1.AAPL,1,20200714,151100,384.15,384.39,384.15,384.19,3463
US1.AAPL,1,20200714,151200,384.27,384.48,384.2,384.29,2400
US1.AAPL,1,20200714,151300,384.37,384.46,383.69,383.82,4598
US1.AAPL,1,20200714,151400,383.9,383.91,383.37,383.7,5332
US1.AAPL,1,20200714,151500,383.67,383.97,383.61,383.86,2249
US1.AAPL,1,20200714,151600,383.71,383.83,383.39,383.59,6491
US1.AAPL,1,20200714,151700,383.5,383.5,382.87,383.31,11687
US1.AAPL,1,20200714,151800,383.26,383.46,383.11,383.46,5195
US1.AAPL,1,20200714,151900,383.42,383.57,383.23,383.57,4374
US1.AAPL,1,20200714,152000,383.51,383.91,383.5,383.78,8400
US1.AAPL,1,20200714,152100,383.77,384.64,383.76,384.64,10232
US1.AAPL,1,20200714,152200,384.64,385.11,384.36,385.09,8338
US1.AAPL,1,20200714,152300,384.99,385.13,384.65,385.13,3925
US1.AAPL,1,20200714,152400,385.11,385.47,385.11,385.47,4977
US1.AAPL,1,20200714,152500,385.61,385.85,385.31,385.55,8036
US1.AAPL,1,20200714,152600,385.58,385.83,385.41,385.83,5747
US1.AAPL,1,20200714,152700,385.82,386.16,385.82,386.02,6609
US1.AAPL,1,20200714,152800,386.15,386.17,385.655,385.75,7550
US1.AAPL,1,20200714,152900,385.78,385.78,385.25,385.28,4760
US1.AAPL,1,20200714,153000,385.29,385.68,385.22,385.68,5375
US1.AAPL,1,20200714,153100,385.82,385.82,385.36,385.61,3884
US1.AAPL,1,20200714,153200,385.39,386.08,385.39,385.99,5968
US1.AAPL,1,20200714,153300,385.93,386.01,385.5,385.5,7051
US1.AAPL,1,20200714,153400,385.67,386.18,385.67,386.09,5200
US1.AAPL,1,20200714,153500,386.09,386.14,385.84,385.97,4875
US1.AAPL,1,20200714,153600,386,386.01,385.38,385.64,10030
US1.AAPL,1,20200714,153700,385.59,385.89,385.59,385.7,3441
US1.AAPL,1,20200714,153800,385.59,385.63,385.33,385.49,4484
US1.AAPL,1,20200714,153900,385.54,385.99,385.43,385.86,3800
US1.AAPL,1,20200714,154000,385.99,386.39,385.83,386.29,5581
US1.AAPL,1,20200714,154100,386.29,386.6,386.12,386.56,5100
US1.AAPL,1,20200714,154200,386.51,386.55,386.32,386.42,4126
US1.AAPL,1,20200714,154300,386.37,386.94,386.37,386.89,3678
US1.AAPL,1,20200714,154400,386.9,387.3,386.89,387.17,12481
US1.AAPL,1,20200714,154500,387.12,387.12,386.6,386.72,11925
US1.AAPL,1,20200714,154600,386.73,386.95,386.66,386.91,5000
US1.AAPL,1,20200714,154700,386.81,386.97,386.75,386.79,5577
US1.AAPL,1,20200714,154800,386.77,387.1,386.71,386.935,4363
US1.AAPL,1,20200714,154900,386.92,387.18,386.9,387.17,4087
US1.AAPL,1,20200714,155000,387.1,388,386.82,387.61,31490
US1.AAPL,1,20200714,155100,387.62,388.72,387.62,388.33,50903
US1.AAPL,1,20200714,155200,388.37,388.66,388.14,388.26,17167
US1.AAPL,1,20200714,155300,388.37,388.73,388.36,388.645,13669
US1.AAPL,1,20200714,155400,388.71,388.77,388.5,388.77,21519
US1.AAPL,1,20200714,155500,388.85,388.95,388.38,388.56,22337
US1.AAPL,1,20200714,155600,388.51,388.87,387.83,388.8,28217
US1.AAPL,1,20200714,155700,388.9,388.965,388.5,388.88,16963
US1.AAPL,1,20200714,155800,388.9,388.99,388.57,388.71,19113
US1.AAPL,1,20200714,155900,388.76,389,388.715,388.91,14530
US1.AAPL,1,20200714,160000,388.91,389,388.22,388.22,43142
US1.AAPL,1,20200715,93100,395.96,396.31,395.21,395.66,29791
US1.AAPL,1,20200715,93200,395.38,395.58,393.89,393.89,14266
US1.AAPL,1,20200715,93300,393.8,395.17,393.25,395,12774
US1.AAPL,1,20200715,93400,394.93,395.66,394.93,395.27,13303
US1.AAPL,1,20200715,93500,395.39,395.54,393.87,394.12,13436
US1.AAPL,1,20200715,93600,393.94,393.98,392.45,393.5,13739
US1.AAPL,1,20200715,93700,393.53,394.18,393.53,393.55,8735
US1.AAPL,1,20200715,93800,393.83,395.14,393.83,394.59,14742
US1.AAPL,1,20200715,93900,394.55,394.74,393.96,394.06,13758
US1.AAPL,1,20200715,94000,394.18,394.29,393.74,393.88,5926
US1.AAPL,1,20200715,94100,393.79,393.8,392.9,393.31,26907
US1.AAPL,1,20200715,94200,393.76,395.18,393.73,394.91,13545
US1.AAPL,1,20200715,94300,394.9,395.96,394.74,395.85,21661
US1.AAPL,1,20200715,94400,395.88,395.99,395.5,395.87,8839
US1.AAPL,1,20200715,94500,395.985,396.93,395.69,396.87,18206
US1.AAPL,1,20200715,94600,396.92,396.98,395.73,395.73,11787
US1.AAPL,1,20200715,94700,395.37,395.67,394.68,395.59,13182
US1.AAPL,1,20200715,94800,395.52,396,395.5,395.76,5085
US1.AAPL,1,20200715,94900,395.77,395.9,395.42,395.89,4823
