<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
US1.IBM,1,20200709,133100,116.1200000,116.1200000,116.1200000,116.1200000,100
US1.IBM,1,20200709,133200,116.0700000,116.1300000,116.0700000,116.1300000,700
US1.IBM,1,20200709,133300,116.1400000,116.1400000,116.1400000,116.1400000,100
US1.IBM,1,20200709,133400,116.2000000,116.2000000,116.2000000,116.2000000,100
US1.IBM,1,20200709,133500,116.2600000,116.2600000,116.2500000,116.2500000,200
US1.IBM,1,20200709,133600,116.1900000,116.2000000,116.1600000,116.1600000,500
US1.IBM,1,20200709,133700,116.1100000,116.1300000,116.1100000,116.1300000,200
US1.IBM,1,20200709,133800,116.1300000,116.1300000,116.1300000,116.1300000,100
US1.IBM,1,20200709,133900,116.1400000,116.1400000,116.1300000,116.1400000,400
US1.IBM,1,20200709,134000,116.1600000,116.1600000,116.1400000,116.1400000,400
US1.IBM,1,20200709,134100,116.1700000,116.3000000,116.1700000,116.2700000,800
US1.IBM,1,20200709,134200,116.2400000,116.2400000,116.1300000,116.1300000,300
US1.IBM,1,20200709,134300,116.1000000,116.1000000,116.0100000,116.0300000,2096
US1.IBM,1,20200709,134500,116.0700000,116.0700000,116.0700000,116.0700000,100
US1.IBM,1,20200709,135000,116.1000000,116.1000000,116.1000000,116.1000000,200
US1.IBM,1,20200709,135100,116.0650000,116.0650000,116.0650000,116.0650000,100
US1.IBM,1,20200709,135200,116.0700000,116.0700000,116.0700000,116.0700000,100
US1.IBM,1,20200709,135300,116.0500000,116.0500000,116.0300000,116.0300000,300
US1.IBM,1,20200709,135500,116.0900000,116.0900000,116.0700000,116.0800000,560
US1.IBM,1,20200709,135600,116.0000000,116.0200000,116.0000000,116.0200000,200
US1.IBM,1,20200709,135800,115.9800000,116.0050000,115.9800000,116.0050000,300
US1.IBM,1,20200709,135900,115.9850000,116.0000000,115.9600000,115.9600000,500
US1.IBM,1,20200709,140100,115.9700000,116.0200000,115.9500000,115.9900000,700
US1.IBM,1,20200709,140200,115.9500000,115.9500000,115.9500000,115.9500000,251
US1.IBM,1,20200709,140400,115.9900000,115.9900000,115.9900000,115.9900000,100
US1.IBM,1,20200709,140500,116.0200000,116.0200000,116.0000000,116.0000000,200
US1.IBM,1,20200709,140600,116.0300000,116.0700000,116.0200000,116.0700000,1000
US1.IBM,1,20200709,140700,116.0700000,116.2000000,116.0700000,116.2000000,1444
US1.IBM,1,20200709,140800,116.2100000,116.2100000,116.2000000,116.2000000,200
US1.IBM,1,20200709,140900,116.1700000,116.1700000,116.1700000,116.1700000,100
US1.IBM,1,20200709,141000,116.1400000,116.1400000,116.1400000,116.1400000,100
US1.IBM,1,20200709,141100,116.1700000,116.1700000,116.1700000,116.1700000,200
US1.IBM,1,20200709,141500,116.1500000,116.1700000,116.1500000,116.1700000,200
US1.IBM,1,20200709,141600,116.2300000,116.2700000,116.2300000,116.2500000,300
US1.IBM,1,20200709,141800,116.1900000,116.1900000,116.1800000,116.1900000,1500
US1.IBM,1,20200709,141900,116.2900000,116.2900000,116.2900000,116.2900000,200
US1.IBM,1,20200709,142000,116.3500000,116.4100000,116.3400000,116.3800000,800
US1.IBM,1,20200709,142100,116.3900000,116.3900000,116.3300000,116.3300000,200
US1.IBM,1,20200709,142200,116.2700000,116.2700000,116.2600000,116.2600000,690
US1.IBM,1,20200709,142300,116.2900000,116.2900000,116.2700000,116.2700000,200
US1.IBM,1,20200709,142400,116.2100000,116.2100000,116.2100000,116.2100000,100
US1.IBM,1,20200709,142800,116.1800000,116.2000000,116.1800000,116.2000000,569
US1.IBM,1,20200709,142900,116.2000000,116.2000000,116.2000000,116.2000000,100
US1.IBM,1,20200709,143000,116.1600000,116.1800000,116.1600000,116.1800000,300
US1.IBM,1,20200709,143100,116.1500000,116.1500000,116.1500000,116.1500000,100
US1.IBM,1,20200709,143200,116.1400000,116.1600000,116.0900000,116.1100000,1700
US1.IBM,1,20200709,143300,116.1400000,116.1400000,116.0800000,116.0800000,1698
US1.IBM,1,20200709,143400,116.0900000,116.0950000,116.0900000,116.0900000,347
US1.IBM,1,20200709,143500,116.0500000,116.0600000,116.0500000,116.0600000,200
US1.IBM,1,20200709,143700,116.0800000,116.0800000,116.0800000,116.0800000,100
US1.IBM,1,20200709,143800,116.0500000,116.0500000,116.0500000,116.0500000,200
US1.IBM,1,20200709,143900,116.0500000,116.0500000,116.0500000,116.0500000,200
US1.IBM,1,20200709,144000,116.1000000,116.1000000,116.1000000,116.1000000,150
US1.IBM,1,20200709,144100,116.0900000,116.0900000,116.0900000,116.0900000,100
US1.IBM,1,20200709,144300,116.0900000,116.1300000,116.0900000,116.1300000,800
US1.IBM,1,20200709,144600,116.0800000,116.0900000,116.0800000,116.0900000,400
US1.IBM,1,20200709,144700,116.0800000,116.0800000,116.0700000,116.0700000,200
US1.IBM,1,20200709,144800,116.0900000,116.1100000,116.0900000,116.1100000,200
US1.IBM,1,20200709,145000,116.2000000,116.2000000,116.2000000,116.2000000,100
US1.IBM,1,20200709,145100,116.1700000,116.1700000,116.1500000,116.1500000,300
US1.IBM,1,20200709,145200,116.1500000,116.1500000,116.1500000,116.1500000,100
US1.IBM,1,20200709,145300,116.1500000,116.1500000,116.1500000,116.1500000,100
US1.IBM,1,20200709,145400,116.2100000,116.2100000,116.2000000,116.2100000,1400
US1.IBM,1,20200709,145700,116.3500000,116.3900000,116.3500000,116.3700000,400
US1.IBM,1,20200709,145800,116.3400000,116.3400000,116.3400000,116.3400000,100
US1.IBM,1,20200709,145900,116.3200000,116.3600000,116.3200000,116.3200000,300
US1.IBM,1,20200709,150000,116.2700000,116.2700000,116.2300000,116.2500000,301
US1.IBM,1,20200709,150100,116.3500000,116.4400000,116.3500000,116.3900000,918
US1.IBM,1,20200709,150200,116.3600000,116.3600000,116.3500000,116.3500000,200
US1.IBM,1,20200709,150300,116.3300000,116.3300000,116.2800000,116.3100000,1014
US1.IBM,1,20200709,150400,116.2800000,116.3300000,116.2800000,116.3300000,300
US1.IBM,1,20200709,150500,116.3800000,116.4000000,116.3600000,116.3600000,500
US1.IBM,1,20200709,150600,116.3500000,116.3600000,116.3200000,116.3200000,400
US1.IBM,1,20200709,150700,116.2800000,116.2900000,116.2800000,116.2900000,200
US1.IBM,1,20200709,150800,116.2600000,116.2600000,116.2600000,116.2600000,100
US1.IBM,1,20200709,150900,116.2700000,116.3400000,116.2700000,116.3300000,400
US1.IBM,1,20200709,151000,116.3400000,116.3400000,116.3400000,116.3400000,100
US1.IBM,1,20200709,151100,116.2500000,116.2500000,116.2500000,116.2500000,100
US1.IBM,1,20200709,151200,116.2500000,116.2500000,116.1500000,116.1500000,1002
US1.IBM,1,20200709,151300,116.1700000,116.1700000,116.1700000,116.1700000,100
US1.IBM,1,20200709,151400,116.3000000,116.3400000,116.3000000,116.3400000,600
US1.IBM,1,20200709,151500,116.3200000,116.3800000,116.3200000,116.3800000,1265
US1.IBM,1,20200709,151600,116.4100000,116.5000000,116.4100000,116.4400000,2014
US1.IBM,1,20200709,151700,116.3000000,116.3100000,116.3000000,116.3100000,200
US1.IBM,1,20200709,151800,116.3000000,116.3000000,116.3000000,116.3000000,200
US1.IBM,1,20200709,151900,116.1800000,116.1800000,116.1800000,116.1800000,100
US1.IBM,1,20200709,152000,116.1800000,116.1900000,116.1800000,116.1900000,200
US1.IBM,1,20200709,152100,116.1400000,116.1600000,116.0800000,116.0800000,560
US1.IBM,1,20200709,152200,116.0200000,116.0400000,116.0200000,116.0300000,548
US1.IBM,1,20200709,152300,116.0000000,116.0000000,115.9400000,115.9400000,1280
US1.IBM,1,20200709,152400,115.9500000,115.9800000,115.9500000,115.9800000,800
US1.IBM,1,20200709,152500,115.9600000,115.9600000,115.9600000,115.9600000,100
US1.IBM,1,20200709,152600,115.9600000,115.9600000,115.9400000,115.9400000,400
US1.IBM,1,20200709,152700,115.9300000,115.9300000,115.8950000,115.9200000,1930
US1.IBM,1,20200709,152800,115.9400000,115.9600000,115.9400000,115.9600000,300
US1.IBM,1,20200709,152900,115.8900000,115.8900000,115.8200000,115.8200000,888
US1.IBM,1,20200709,153000,115.7900000,115.8500000,115.7800000,115.8100000,1100
US1.IBM,1,20200709,153100,115.7900000,115.8600000,115.7900000,115.8300000,800
US1.IBM,1,20200709,153200,115.8400000,115.8400000,115.7000000,115.7000000,1700
US1.IBM,1,20200709,153300,115.7200000,115.7400000,115.6900000,115.7200000,900
US1.IBM,1,20200709,153400,115.8000000,115.8500000,115.8000000,115.8400000,894
US1.IBM,1,20200709,153500,115.8200000,115.8200000,115.7800000,115.8000000,400
US1.IBM,1,20200709,153600,115.7500000,115.7500000,115.6500000,115.6500000,435
US1.IBM,1,20200709,153700,115.6400000,115.7100000,115.6300000,115.7100000,400
US1.IBM,1,20200709,153800,115.6600000,115.6900000,115.6600000,115.6800000,400
US1.IBM,1,20200709,153900,115.6600000,115.7200000,115.6600000,115.7200000,300
US1.IBM,1,20200709,154000,115.7900000,115.7900000,115.7500000,115.7600000,1783
US1.IBM,1,20200709,154100,115.6000000,115.6000000,115.6000000,115.6000000,100
US1.IBM,1,20200709,154200,115.6400000,115.7000000,115.6400000,115.7000000,819
US1.IBM,1,20200709,154300,115.7200000,115.7200000,115.6900000,115.7100000,417
US1.IBM,1,20200709,154400,115.7700000,115.7700000,115.7300000,115.7600000,500
US1.IBM,1,20200709,154500,115.8000000,115.8000000,115.7500000,115.7500000,300
US1.IBM,1,20200709,154600,115.8600000,115.8800000,115.8600000,115.8700000,766
